rowname	sum.taxonomy
asv.414	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.416	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.434	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.435	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.436	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.437	Eukaryota;Chordata;Actinopteri;;;;
asv.438	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.441	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.442	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.443	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.447	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.467	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherinomorus;
asv.470	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;;
asv.474	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Ostorhinchus;
asv.476	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.479	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.482	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.483	Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Netuma;Netuma_thalassina
asv.485	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_radiatus
asv.486	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;
asv.489	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.490	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.493	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;;
asv.495	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Monacanthus;Monacanthus_chinensis
asv.497	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.504	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.506	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.510	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
asv.449	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.450	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.451	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.452	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.453	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla_anguilla
