asv	sum.taxonomy	identificationRemarks
51	asv.51	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.85;0.78;0.76;0.63;0.63. No VSEARCH hits at 0.97 identity.
52	asv.52	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;0.99;0.87;0.77;0.75;0.72;0.72. No VSEARCH hits at 0.97 identity.
53	asv.53	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Scorpaenidae;g__Pterois;s__Pterois_miles, confidences 1;1;1;0.94;0.17;0.08;0.08;0.04. No VSEARCH hits at 0.97 identity.
54	asv.54	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.87;0.84;0.83;0.7;0.7. No VSEARCH hits at 0.97 identity.
55	asv.55	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;0.96;0.82;0.77;0.77;0.75;0.75. No VSEARCH hits at 0.97 identity.
56	asv.56	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.89;0.75;0.71;0.67;0.67. No VSEARCH hits at 0.97 identity.
57	asv.57	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;0.99;0.99;0.87;0.79;0.79;0.67;0.67. No VSEARCH hits at 0.97 identity.
58	asv.58	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.85;0.77;0.76;0.72;0.72. No VSEARCH hits at 0.97 identity.
59	asv.59	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare, confidences 1;1;0.99;0.99;0.98;0.98;0.98;0.64. No VSEARCH hits at 0.97 identity.
60	asv.60	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.91;0.8;0.8;0.77;0.77. No VSEARCH hits at 0.97 identity.
61	asv.61	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.84;0.78;0.78;0.65;0.65. No VSEARCH hits at 0.97 identity.
62	asv.62	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;0.99;0.93;0.83;0.81;0.8;0.75;0.75. No VSEARCH hits at 0.97 identity.
63	asv.63	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;0.98;0.89;0.83;0.72;0.7;0.7. No VSEARCH hits at 0.97 identity.
64	asv.64	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Anguilliformes;f__Congridae;g__Paraconger;s__Paraconger_notialis, confidences 1;1;0.99;0.57;0.42;0.3;0.27;0.27. No VSEARCH hits at 0.97 identity.
65	asv.65	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Callionymidae;g__Neosynchiropus;s__Neosynchiropus_moyeri, confidences 1;0.99;0.86;0.58;0.13;0.11;0.07;0.07. No VSEARCH hits at 0.97 identity.
66	asv.66	sk__Eukaryota;k__Metazoa;p__Chordata;c__Aves;o__Anseriformes;f__Anatidae;g__Anas;s__Anas_poecilorhyncha	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Aves;o__Anseriformes;f__Anatidae;g__Anas;s__Anas_poecilorhyncha, confidences 1;1;1;0.98;0.94;0.93;0.9;0.86. No VSEARCH hits at 0.97 identity.
67	asv.67	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Mullidae;g__Mulloidichthys;s__Mulloidichthys_vanicolensis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Mullidae;g__Mulloidichthys;s__Mulloidichthys_vanicolensis, confidences 1;1;1;1;0.99;0.99;0.99;0.99. No VSEARCH hits at 0.97 identity.
68	asv.68	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Anabantiformes;f__Osphronemidae;g__Macropodus;s__Macropodus_opercularis, confidences 1;1;0.98;0.76;0.11;0.11;0.11;0.11. No VSEARCH hits at 0.97 identity.
69	asv.69	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Epinephelus;s__Epinephelus_akaara, confidences 1;0.99;0.91;0.75;0.28;0.22;0.2;0.05. No VSEARCH hits at 0.97 identity.
70	asv.70	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;0.99;0.99;0.83;0.81;0.81;0.69;0.69. No VSEARCH hits at 0.97 identity.
71	asv.71	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Mullidae;g__Mulloidichthys;s__Mulloidichthys_vanicolensis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Mullidae;g__Mulloidichthys;s__Mulloidichthys_vanicolensis, confidences 1;1;1;1;0.93;0.93;0.93;0.93. No VSEARCH hits at 0.97 identity.
72	asv.72	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.95;0.95;0.91;0.86;0.86. No VSEARCH hits at 0.97 identity.
